model,class_label,k,candidate_count,image_count,patient_count,inertia_per_candidate,mean_distance_to_center,p90_distance_to_center,median_cluster_candidates,min_cluster_candidates,median_cluster_patients,min_cluster_patients,clusters_under_5_patients,clusters_under_10_patients,mean_max_patient_share,worst_max_patient_share,top1_importance_S_h,top5_mean_probability_drop,ssc_step0_accuracy,ssc_final_accuracy,sdc_step0_accuracy,sdc_final_accuracy,previous_k,adjusted_rand_vs_previous_k,normalized_mutual_info_vs_previous_k
resnet50,0,25,23351,251,157,73.20056956875509,8.465249659147137,10.073676109313965,903.0,489,139.0,53,0,0,0.04596287856096171,0.1983640081799591,0.686720446390341,0.0073777573505012005,1.0,0.9601593625498008,0.8804780876494024,0.9322709163346612,20.0,0.6656098609892241,0.7718875124809003
resnet50,0,30,23351,251,157,72.23769859963171,8.408453344864833,10.00265884399414,752.0,373,131.0,55,0,0,0.04389302331435604,0.1297297297297297,0.9206550602626752,0.025749120948752723,1.0,0.9482071713147412,0.8804780876494024,0.9482071713147412,25.0,0.5814075112950775,0.7318361009840413
resnet50,0,35,23351,251,157,71.3591013232838,8.360435065832705,9.924874305725098,681.0,303,130.0,36,0,0,0.053192179328915436,0.2579787234042553,1.0501573197469412,0.037397931129560684,1.0,0.9163346613545816,0.8804780876494024,0.9561752988047808,30.0,0.5558483611483482,0.7260809889761929
resnet50,0,40,23351,251,157,70.69595520534452,8.320516273687547,9.882845878601074,580.5,297,116.0,41,0,0,0.05459187224156915,0.2714285714285714,0.9651585627362071,0.03704446979803592,1.0,0.9282868525896414,0.8804780876494024,0.9402390438247012,35.0,0.5998522219188024,0.752606358560962
resnet50,0,45,23351,251,157,70.13398248469016,8.284063857911992,9.864717483520508,508.0,167,117.0,42,0,0,0.05312271484619154,0.1899038461538461,0.9916945156823116,0.032252920550674344,1.0,0.9243027888446216,0.8804780876494024,0.9402390438247012,40.0,0.47673795688981635,0.7023819300525825
resnet50,0,50,23351,251,157,69.58054794227228,8.254566477553032,9.80309009552002,451.0,251,109.0,33,0,0,0.06049342095462442,0.3020833333333333,1.0312268237742888,0.03932790446630752,1.0,0.9322709163346612,0.8804780876494024,0.9721115537848606,45.0,0.4601634142415277,0.687313750615768
resnet50,1,10,25066,251,157,85.7992001117051,9.169714118613884,10.884713172912598,2567.5,507,155.0,134,0,0,0.02699563246875588,0.0393386545039908,0.8636082620081673,0.19186516985650712,0.0,0.3426294820717131,0.6653386454183267,0.1713147410358565,,,
resnet50,1,15,25066,251,157,83.456464932578,9.044416062422687,10.732917785644531,1728.0,489,149.0,94,0,0,0.03412621789877897,0.0781796966161026,0.8749120199674392,0.21074287400084732,0.0,0.3545816733067729,0.6653386454183267,0.1513944223107569,10.0,0.553158805852685,0.6748046368065607
resnet50,1,20,25066,251,157,81.84846505226203,8.956904276479015,10.617762088775635,1274.0,459,138.0,87,0,0,0.039502652174737245,0.1121951219512195,0.8602500652886956,0.2399137343930406,0.0,0.4103585657370518,0.6653386454183267,0.1394422310756972,15.0,0.4446009876283579,0.6491631054838409
resnet50,1,25,25066,251,157,80.58735438442511,8.886203410704784,10.535372734069824,1028.0,477,134.0,81,0,0,0.04184613301714888,0.1060869565217391,0.7981088843671568,0.22414164913960466,0.0,0.350597609561753,0.6653386454183267,0.1593625498007968,20.0,0.596254699256595,0.7275915445217656
resnet50,1,30,25066,251,157,79.50620860927152,8.82751617005139,10.456552505493164,818.5,453,126.0,79,0,0,0.047045926509322634,0.1186770428015564,0.8179665242295816,0.22472812894180402,0.0,0.3545816733067729,0.6653386454183267,0.1713147410358565,25.0,0.5972685739309276,0.7397742616073434
resnet50,1,35,25066,251,157,78.722442751137,8.781326547696644,10.432472705841064,734.0,318,124.0,8,0,1,0.055182631125004926,0.4591194968553459,0.8330630369157905,0.2473318098070807,0.0,0.3107569721115538,0.6653386454183267,0.1553784860557769,30.0,0.642100563944056,0.7700279592137366
resnet50,1,40,25066,251,157,78.01621219979255,8.74248309815709,10.384462833404541,626.5,257,121.5,12,0,0,0.05633192227755103,0.4346504559270516,0.8676308810681224,0.2673891089558512,0.0,0.5856573705179283,0.6653386454183267,0.0796812749003984,35.0,0.6604492483545429,0.7914248493065537
resnet50,1,45,25066,251,157,77.40735458389851,8.709673477895127,10.320947170257568,547.0,251,118.0,10,0,0,0.06609778341559527,0.5297805642633229,0.8644750342811959,0.26344128860327154,0.0,0.5976095617529881,0.6653386454183267,0.0717131474103585,40.0,0.49909409329377963,0.7076889882709775
resnet50,1,50,25066,251,157,76.88292906726242,8.681025516080389,10.298715114593506,499.5,99,108.0,10,0,0,0.07328883420498705,0.5302491103202847,0.8704557140539604,0.2746710170416666,0.0,0.6175298804780877,0.6653386454183267,0.0876494023904382,45.0,0.5258093054200641,0.7253567642042095
