rank,channel,channel_score,area_ratio,bbox,full_probability,keep_probability,removed_probability,probability_drop
26,555,0.00153367,0.100001,"(np.int64(245), np.int64(97), np.int64(472), np.int64(360))",0.969122,0.142615,0.557922,0.4112
27,422,0.00063807,0.100001,"(np.int64(155), np.int64(224), np.int64(403), np.int64(451))",0.969122,0.120257,0.591731,0.377391
28,247,1.873e-05,0.052023,"(np.int64(148), np.int64(217), np.int64(294), np.int64(454))",0.969122,0.365219,0.601668,0.367454
29,603,1.686e-05,0.064839,"(np.int64(307), np.int64(225), np.int64(459), np.int64(416))",0.969122,0.117533,0.739886,0.229236
30,294,0.00012457,0.099187,"(np.int64(150), np.int64(70), np.int64(398), np.int64(247))",0.969122,0.059392,0.754889,0.214233
31,754,3.281e-05,0.042101,"(np.int64(308), np.int64(206), np.int64(428), np.int64(353))",0.969122,0.154402,0.757288,0.211834
32,1153,4.054e-05,0.065288,"(np.int64(273), np.int64(139), np.int64(419), np.int64(381))",0.969122,0.100646,0.764066,0.205056
33,795,0.00035822,0.100001,"(np.int64(287), np.int64(53), np.int64(485), np.int64(284))",0.969122,0.180406,0.771341,0.197781
34,200,9.257e-05,0.052011,"(np.int64(138), np.int64(209), np.int64(272), np.int64(357))",0.969122,0.066917,0.775974,0.193148
35,837,9.066e-05,0.084337,"(np.int64(117), np.int64(141), np.int64(330), np.int64(325))",0.969122,0.272761,0.784998,0.184124
36,67,9.895e-05,0.055004,"(np.int64(280), np.int64(135), np.int64(445), np.int64(284))",0.969122,0.041396,0.789227,0.179895
37,1139,6.916e-05,0.035394,"(np.int64(137), np.int64(225), np.int64(288), np.int64(386))",0.969122,0.340282,0.806265,0.162857
38,1172,0.00017238,0.050094,"(np.int64(137), np.int64(130), np.int64(431), np.int64(268))",0.969122,0.392682,0.815783,0.153339
39,749,2.751e-05,0.041983,"(np.int64(255), np.int64(250), np.int64(431), np.int64(399))",0.969122,0.739639,0.834201,0.134921
40,642,2.123e-05,0.060505,"(np.int64(267), np.int64(91), np.int64(576), np.int64(260))",0.969122,0.518991,0.852141,0.116981
41,1268,0.00016454,0.051327,"(np.int64(200), np.int64(274), np.int64(458), np.int64(369))",0.969122,0.392887,0.85638,0.112742
42,1081,0.00018255,0.054467,"(np.int64(220), np.int64(301), np.int64(361), np.int64(452))",0.969122,0.550442,0.86157,0.107552
43,394,6.92e-05,0.052786,"(np.int64(303), np.int64(0), np.int64(457), np.int64(158))",0.969122,0.751272,0.866125,0.102997
44,764,4.745e-05,0.100001,"(np.int64(198), np.int64(306), np.int64(398), np.int64(534))",0.969122,0.196187,0.884869,0.084254
45,1264,3.28e-05,0.100001,"(np.int64(330), np.int64(144), np.int64(513), np.int64(417))",0.969122,0.125582,0.893269,0.075853
46,1177,0.00012465,0.05422,"(np.int64(305), np.int64(189), np.int64(576), np.int64(357))",0.969122,0.518869,0.91365,0.055472
47,318,1.222e-05,0.061117,"(np.int64(172), np.int64(250), np.int64(483), np.int64(416))",0.969122,0.324928,0.91468,0.054442
48,941,0.00016936,0.059142,"(np.int64(237), np.int64(284), np.int64(443), np.int64(416))",0.969122,0.125779,0.9148,0.054322
49,175,0.00015182,0.085422,"(np.int64(320), np.int64(137), np.int64(524), np.int64(349))",0.969122,0.00706,0.915596,0.053526
50,383,1.755e-05,0.100001,"(np.int64(162), np.int64(75), np.int64(485), np.int64(333))",0.969122,0.840715,0.915781,0.053341
51,732,0.00021913,0.06392,"(np.int64(237), np.int64(0), np.int64(414), np.int64(194))",0.969122,0.350611,0.91613,0.052992
52,731,0.00010523,0.066075,"(np.int64(338), np.int64(87), np.int64(499), np.int64(342))",0.969122,0.415211,0.918129,0.050994
53,1039,2.356e-05,0.100001,"(np.int64(327), np.int64(287), np.int64(576), np.int64(532))",0.969122,0.16166,0.920121,0.049001
54,103,6.09e-05,0.056288,"(np.int64(334), np.int64(139), np.int64(576), np.int64(253))",0.969122,0.041491,0.925655,0.043467
55,493,3.699e-05,0.05454,"(np.int64(0), np.int64(123), np.int64(317), np.int64(252))",0.969122,0.317954,0.928302,0.04082
56,1187,6.79e-06,0.100001,"(np.int64(0), np.int64(318), np.int64(261), np.int64(503))",0.969122,0.253625,0.928368,0.040754
57,1261,8.149e-05,0.100001,"(np.int64(271), np.int64(0), np.int64(576), np.int64(165))",0.969122,0.692168,0.928724,0.040398
58,865,9.122e-05,0.050058,"(np.int64(153), np.int64(332), np.int64(309), np.int64(483))",0.969122,0.222421,0.929658,0.039464
59,775,1.624e-05,0.046031,"(np.int64(121), np.int64(295), np.int64(371), np.int64(374))",0.969122,0.920751,0.930198,0.038924
60,471,0.00077128,0.06631,"(np.int64(90), np.int64(268), np.int64(345), np.int64(409))",0.969122,0.108904,0.933622,0.0355
61,957,0.00023053,0.100001,"(np.int64(105), np.int64(298), np.int64(354), np.int64(472))",0.969122,0.35779,0.937859,0.031263
